actions,category,drugbank_id,known_action,organism,uniprot_id,type,name,groups,smiles,PDB_ID
agonist,target,DB00014,yes,Humans,P22888,small molecule,Goserelin,approved,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,"7FIG,7FIH,7FII,7FIJ"
agonist,target,DB00014,yes,Humans,P30968,small molecule,Goserelin,approved,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,7BR3
agonist,target,DB00035,yes,Humans,P30518,small molecule,Desmopressin,approved,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,"4JQI,6NI2,6U1N,7BB6,7BB7,7DF9,7DFA,7DFB,7DFC,7DW9,7KH0,7R0C,7R0J,8GOC,8I10,8JRU,8JRV,8WRZ,8WU1"
,target,DB00035,yes,Humans,P37288,small molecule,Desmopressin,approved,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,1YTV
inhibitor,target,DB00175,yes,Humans,P04035,small molecule,Pravastatin,approved,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,"1DQ8,1DQ9,1DQA,1HW8,1HW9,1HWI,1HWJ,1HWK,1HWL,2Q1L,2Q6B,2Q6C,2R4F,3BGL,3CCT,3CCW,3CCZ,3CD0,3CD5,3CD7,3CDA,3CDB"
inhibitor,target,DB00175,unknown,Humans,Q92769,small molecule,Pravastatin,approved,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,"3MAX,4LXZ,4LY1,5IWG,5IX0,6G3O,6WBW,6WBZ,6WHN,6WHO,6WHQ,6WHZ,6WI3,6XDM,6XEB,6XEC,7JS8,7KBG,7KBH,7LTG,7LTK,7LTL,7MOS,7MOT,7MOX,7MOY,7MOZ,7ZZO,7ZZP,7ZZR,7ZZS,7ZZT,7ZZU,7ZZW,8A0B,8BPA,8BPB,8BPC,8C60"
inhibitor,target,DB00178,yes,Humans,P12821,small molecule,Ramipril,approved,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,"1O86,1O8A,1UZE,1UZF,2C6F,2C6N,2IUL,2IUX,2OC2,2XY9,2XYD,2YDM,3BKK,3BKL,3L3N,3NXQ,4APH,4APJ,4BXK,4BZR,4BZS,4C2N,4C2O,4C2P,4C2Q,4C2R,4CA5,4CA6,4UFA,4UFB,5AM8,5AM9,5AMA,5AMB,5AMC,6EN5,6EN6,6F9R,6F9T,6F9U,6F9V,6H5W,6H5X,6QS1,6TT1,6TT3,6TT4,6ZPQ,6ZPT,6ZPU,7Q24,7Q25,7Q26,7Q27,7Q28,7Q29,7Q3Y,7Q49,7Q4C,7Q4D,7Q4E,7Z6Z,7Z70,8QFX,8QHL"
,target,DB00178,unknown,Humans,P46663,small molecule,Ramipril,approved,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,7EIB
agonist,target,DB00181,unknown,Humans,Q9UBS5,small molecule,Baclofen,approved,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,"4MQE,4MQF,4MR7,4MR8,4MR9,4MRM,4MS1,4MS3,4MS4,4PAS,6HKC,6UO8,6UO9,6UOA,6VJM,6W2X,6W2Y,6WIV,7C7Q,7C7S,7CA3,7CA5,7CUM,7EB2"
agonist,target,DB00181,yes,Humans,O75899,small molecule,Baclofen,approved,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,"4F11,4F12,4MQE,4MQF,4MR7,4MR8,4MR9,4MRM,4MS1,4MS3,4MS4,4PAS,6M8R,6OCP,6UO8,6UO9,6UOA,6VJM,6W2X,6WIV,7C7Q,7C7S,7CA3,7CA5,7CUM,7EB2"
agonist,target,DB00183,yes,Humans,P32239,small molecule,Pentagastrin,approved,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,"1L4T,7F8V,7F8W,7XOW,8IA7"
agonist,target,DB00184,yes,Humans,P43681,small molecule,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,"2LLY,5KXI,6CNJ,6CNK,6UR8,6USF,8SSZ,8ST0,8ST1,8ST2,8ST3,8ST4"
agonist,target,DB00184,yes,Humans,P36544,small molecule,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,"2MAW,5AFH,5AFJ,5AFK,5AFL,5AFM,5AFN,7EKI,7EKP,7EKT,7KOO,7KOQ,7KOX,7RPM,8C9X,8CAU,8CE4,8CI1,8CI2,8F4V,8P1H,8UT1,8UTB,8UZJ,8V80,8V82,8V86,8V88,8V89,8V8A,8V8C,8V8D"
agonist,target,DB00184,yes,Humans,P17787,small molecule,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,"2K58,2K59,2KSR,2LM2,5KXI,6CNJ,6CNK,6UR8,6USF,8SSZ,8ST0,8ST1,8ST2,8ST3,8ST4"
agonist,target,DB00184,unknown,Humans,Q15822,small molecule,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,5FJV
agonist,target,DB00184,unknown,Humans,P32297,small molecule,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,"4ZK4,5SYO,5TVC,6PV7,6PV8"
agonist,target,DB00184,unknown,Humans,Q9UGM1,small molecule,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,"4D01,4UXU,4UY2,6HY7"
agonist,target,DB00184,unknown,Humans,Q05901,small molecule,Nicotine,approved,CN1CCC[C@H]1C1=CN=CC=C1,8A5U
